=	v-w1f1	=-001
operovat	v-w3117f3	operovat-002	substituted with v-w3117f5_ZU
operovat	v-w3117f4_ZU	operovat-002	substituted with v-w3117f5_ZU
operovat	v-w3117f6_ZU	operovat-004
operovat	v-w3117f8_ZU	operovat-005
operovat	v-w3117f7_ZU	operovat-005	substituted with v-w3117f8_ZU
opevňovat	v-w10094f2	opevňovat-001
opečovávat	v-w10842f2	opečovávat-001
opisovat	v-w3127f1	opisovat-001
opičit se	v-w12193_ZUf1_ZU	opičit se-001
oplakat	v-whsa_887hsa_888	oplakat-001
oplakávat	v-w10467f2	oplakávat-001
oplatit	v-w3131f1	oplatit-001
oplodnit	v-w10918f2	oplodnit-001
oplotit	v-w3132f1	oplotit-001
oplácet	v-whsa_1191f1_ZU	oplácet-001
oplácet	v-whsa_1191hsa_1192	oplácet-001	substituted with v-whsa_1191f1_ZU
opláchnout	v-whsb_606hsa_607	opláchnout-001
oplývat	v-w3134f1	oplývat-001
opodstatňovat	v-w3136f1	opodstatňovat-001
opomenout	v-w3138f1	opomenout-001
opominout	v-w10578f2	opominout-001
opomíjet	v-w3140f1	opomíjet-001
oponovat	v-w3141f1	oponovat-001
oponovat	v-w3141f2	oponovat-002
opotřebovat	v-w10783f2	opotřebovat-001
opouštět	v-w3143f1	opouštět-001
opouštět	v-w3143f2_MM	opouštět-002
opovrhnout	v-w12263_ZUf1_ZU	opovrhnout-001
opovrhovat	v-w10539f2	opovrhovat-001
opozdit	v-w10933f2	opozdit-001
opozdit se	v-w11420f2	opozdit se-001
opozdit se	v-w11420hsa_378	opozdit se-002
opožďovat se	v-w11429f3_ZU	opožďovat se-001
opožďovat se	v-w11429f2	opožďovat se-001	substituted with v-w11429f3_ZU
opracovat	v-whsb_277hsa_278	opracovat-001
opracovávat	v-w10177f4	opracovávat-001
opravit	v-w3147f1	opravit-002
opravit	v-w3147f3_ZU	opravit-001
opravit	v-w3147f2	opravit-001	substituted with v-w3147f3_ZU
opravovat	v-w3153f1	opravovat-001
opravovat	v-w3153f2	opravovat-002
opravovat	v-w3153hsa_366	opravovat-003
opravňovat	v-w3152f1	opravňovat-001
opravňovat	v-w3152f2	opravňovat-002
oprašovat	v-w10959f2	oprašovat-001
oprostit	v-w3154f1	oprostit-001
oprávnit	v-w3151f1	oprávnit-001
oprávnit	v-w3151hsa_797	oprávnit-002
oprášit	v-w3145f1	oprášit-001
oprášit	v-w3145f2	oprášit-002
opsat	v-w11044f3	opsat-001
opsat	v-w11044f4	opsat-002
optat se	v-w3158f1	optat se-001
optimalizovat	v-w3160f1	optimalizovat-001
opustit	v-w3161f1	opustit-001
opustit	v-w3161f2	opustit-002
opustit	v-w3161f3_MM	opustit-003
opustit	v-w3161hsa_1411	opustit-004
opylit	v-w11156f2	opylit-001
opylovat	v-w10372f2	opylovat-001
opálit	v-w3102f1	opálit-001
opásat	v-w3106f1	opásat-001
opáčit	v-w10925f2	opáčit-001
opéci	v-whsb_724hsa_725	opéci-001
opékat	v-whsa_1111hsa_1112	opékat-001
opíjet	v-w3119f1	opíjet-001
opíjet se	v-w3120f1	opíjet se-001
opíjet se	v-w3120f2	opíjet se-002
opírat	v-w3123f1	opírat-001
opírat	v-w3123f2	opírat-002
opírat se	v-w3124f1	opírat se-001
opírat se	v-w3124f2	opírat se-002
opít	v-w3128f1	opít-001
opít	v-w3128f2	opít-002
opít se	v-w3129f2_ZU	opít se-001
opít se	v-w3129f1	opít se-001	substituted with v-w3129f2_ZU
opětovat	v-w10903f2	opětovat-001
opěvovat	v-w10774f2	opěvovat-001
opřít	v-w11662_ZUf1_ZU	opřít-001
opřít se	v-w3157f1	opřít se-001
opřít se	v-w3157f2	opřít se-002
opřít se	v-w3157f3	opřít se-003
orat	v-w3163f1	orat-001
orazítkovat	v-w11009f2	orazítkovat-001
ordinovat	v-w3164f1	ordinovat-001
organizovat	v-w3169f2_MM	organizovat-001
organizovat	v-w3169f1	organizovat-001	substituted with v-w3169f2_MM
organizovat	v-w3169hsa_470	organizovat-002
orientovat	v-w3172f2	orientovat-002
orientovat	v-w3172f3	orientovat-003
orientovat	v-w3172f1	orientovat-003	substituted with v-w3172f3
orientovat	v-w3172f4	orientovat-001
orientovat se	v-w3173f2	orientovat se-002
orientovat se	v-w3173f3_ZU	orientovat se-001
orientovat se	v-w3173f1	orientovat se-001	substituted with v-w3173f3_ZU
orientovat se	v-w3173hsa_735	orientovat se-003
orodovat	v-w12139_ZUf1_ZU	orodovat-001
orosit se	v-w3174f1	orosit se-001
osahat	v-w11232f1	osahat-001
osahat si	v-w3176f1	osahat si-001
osahávat	v-w3177f1	osahávat-001
osamostatnit se	v-w3181f1	osamostatnit se-002
osamostatnit se	v-w3181f2	osamostatnit se-001
osamostatňovat se	v-w11700_ZUf1_ZU	osamostatňovat se-001
osazovat	v-w12052_ZUf1_ZU	osazovat-001
oscilovat	v-whsa_870f1_ZU	oscilovat-001
oscilovat	v-whsa_870hsa_871	oscilovat-001	substituted with v-whsa_870f1_ZU
osedlat si	v-w11542_ZUf1_ZU	osedlat si-001
osekat	v-w10714f2	osekat-001
oseknout	v-w10677f2	oseknout-001
osiřet	v-w3186f1	osiřet-001
oskenovat	v-whsa_616hsa_617	oskenovat-001
oslabit	v-w3188f1	oslabit-001
oslabit	v-w3188f2	oslabit-003
oslabit	v-w3188f3	oslabit-002
oslabit	v-w3188f4_ZU	oslabit-004
oslabit	v-w3188hsa_487	oslabit-004	substituted with v-w3188f4_ZU
oslabovat	v-w3190f1	oslabovat-001
oslabovat	v-w3190f2	oslabovat-002
oslabovat	v-w3190f4_ZU	oslabovat-003
oslabovat	v-w3190f3_ZU	oslabovat-003	substituted with v-w3190f4_ZU
oslabovat	v-w3190hsa_1298	oslabovat-004	obsolete
oslabovat se	v-w3191f1	oslabovat se-001
osladit	v-w11213f2	osladit-001
osladit	v-w11213f3_ZU	osladit-002
oslavit	v-w3193f1	oslavit-001
oslavovat	v-w3194f1	oslavovat-001
oslepit	v-w3196f1	oslepit-001
oslepnout	v-w12142_ZUf1_ZU	oslepnout-001
oslnit	v-w3197f1	oslnit-001
oslovit	v-w3199f2	oslovit-001
oslovit	v-w3199f4_ZU	oslovit-003
oslovit	v-w3199f3_ZU	oslovit-003	substituted with v-w3199f4_ZU
oslovit	v-w3199hsa_152	oslovit-003	substituted with v-w3199f4_ZU
oslovit	v-w3199f5_ZU	oslovit-002
oslovit	v-w3199f1	oslovit-002	substituted with v-w3199f5_ZU
oslovovat	v-w3200f1	oslovovat-001
oslovovat	v-w3200f2_ZU	oslovovat-002
oslovovat	v-w3200hsa_963	oslovovat-002	substituted with v-w3200f2_ZU
oslyšet	v-w3201f1	oslyšet-001
osnovat	v-w10420f2	osnovat-001
osobovat si	v-w3202f1	osobovat si-001
osolit	v-w3206f1	osolit-001
osopit se	v-whsa_1324f1_ZU	osopit se-001
osopit se	v-whsb_1324hsa_1325	osopit se-001	substituted with v-whsa_1324f1_ZU
osočovat	v-w3205f1	osočovat-001
ospravedlnit	v-w3208f1	ospravedlnit-001
ospravedlňovat	v-w3209f1	ospravedlňovat-001
osprchovat	v-w11793_ZUf1_ZU	osprchovat-001
ostýchat se	v-w3215f1	ostýchat se-001
ostřelovat	v-w3212f1	ostřelovat-001
ostřit	v-w3213f1	ostřit-001
ostříhat	v-whsa_480hsa_481	ostříhat-001
osušit	v-w12329_MMf1_MM	osušit-001
osvobodit	v-w3230f2	osvobodit-002
osvobodit	v-w3230hsa_934	osvobodit-001
osvobodit	v-w3230f1	osvobodit-001	substituted with v-w3230hsa_934
osvobozovat	v-w3233f1	osvobozovat-001
osvobozovat	v-w3233f2	osvobozovat-002
osvojit si	v-w3235f1	osvojit si-001
osvojit si	v-w3235f2_ZU	osvojit si-002
osvojovat si	v-w3236f1	osvojovat si-001
osvítit	v-w11082f2	osvítit-001
osvěcovat	v-w11695_ZUf1_ZU	osvěcovat-001
osvědčit	v-w3219f1	osvědčit-001
osvědčit se	v-w3220f1	osvědčit se-001
osvědčovat	v-w3221f1	osvědčovat-001
osvědčovat se	v-w3222f1	osvědčovat se-001
osvětlit	v-w3225f1	osvětlit-001
osvětlit	v-w3225f2	osvětlit-002
osvětlovat	v-w3226f1	osvětlovat-001
osvětlovat	v-w3226f2_ZU	osvětlovat-002
osvěžit	v-w3228f2_ZU	osvěžit-001
osvěžit	v-w3228f1	osvěžit-001	substituted with v-w3228f2_ZU
osvěžit se	v-whsa_2052hsa_2053	osvěžit se-001
osázet	v-whsa_1530hsa_1531	osázet-001
osídlit	v-w3184f1	osídlit-001
osídlovat	v-w12073_ZUf1_ZU	osídlovat-001
oteplit se	v-w3255f1	oteplit se-001
oteplovat	v-w3256f1	oteplovat-001
oteplovat se	v-w3257f1	oteplovat se-002
oteplovat se	v-w3257f2	oteplovat se-001
otesat	v-w11543_ZUf1_ZU	otesat-001
otestovat	v-w3258f1	otestovat-001
otevírat	v-w3261f1	otevírat-001
otevírat	v-w3261f2	otevírat-005
otevírat	v-w3261f3	otevírat-002
otevírat	v-w3261f4	otevírat-003
otevírat	v-w3261f5	otevírat-004
otevírat	v-w3261f6_ZU	otevírat-008
otevírat	v-w3261hsa_930	otevírat-008	substituted with v-w3261f6_ZU
otevírat	v-w3261hsa_928	otevírat-006
otevírat	v-w3261hsa_929	otevírat-007
otevírat se	v-w3262f1	otevírat se-001
otevírat se	v-w3262f2_ZU	otevírat se-003
otevírat se	v-w3262hsa_178	otevírat se-002
otevřít	v-w3265f2	otevřít-002
otevřít	v-w3265f4	otevřít-005
otevřít	v-w3265f5	otevřít-003
otevřít	v-w3265f8_ZU	otevřít-007
otevřít	v-w3265hsa_304	otevřít-007	substituted with v-w3265f8_ZU
otevřít	v-w3265f9_ZU	otevřít-004
otevřít	v-w3265f6_ZU	otevřít-004	substituted with v-w3265f9_ZU
otevřít	v-w3265f7_ZU	otevřít-004	substituted with v-w3265f9_ZU
otevřít	v-w3265f10_ZU	otevřít-001
otevřít	v-w3265f1	otevřít-001	substituted with v-w3265f10_ZU
otevřít	v-w3265hsa_303	otevřít-006
otevřít	v-w3265f3	otevřít-006	substituted with v-w3265hsa_303
otevřít se	v-w3266f1	otevřít se-002
otevřít se	v-w3266f2	otevřít se-003
otevřít se	v-w3266f3	otevřít se-001
otipovat	v-w3267f1	otipovat-001
otisknout	v-w3268f1	otisknout-001
otisknout	v-w3268f2	otisknout-002
otiskovat	v-w3269f1	otiskovat-001
otiskovat	v-w3269f2	otiskovat-002
otlačit se	v-w11877_ZUf1_ZU	otlačit se-001
otlouci	v-w12150_ZUf1_ZU	otlouci-001
otloukat	v-whsa_392hsa_393	otloukat-001
otočit	v-w3271f1	otočit-001
otočit	v-w3271f2	otočit-002
otočit	v-w3271f3	otočit-003
otočit	v-w3271f4_ZU	otočit-005
otočit	v-w3271hsa_533	otočit-004
otočit	v-w3271hsa_534	otočit-006
otočit se	v-w3272f1	otočit se-002
otočit se	v-w3272f2	otočit se-001
otočit se	v-w3272f3_ZU	otočit se-003
otočit se	v-w3272f4_ZU	otočit se-004
otravovat	v-w3277f1	otravovat-001
otravovat	v-w3277hsa_281	otravovat-002
otrhat	v-whsa_441hsa_442	otrhat-001
otrkat se	v-w3278f1	otrkat se-001
otrnout	v-w3279f1	otrnout-001
otrávit	v-w3275f1	otrávit-001
otrávit se	v-w3276f1	otrávit se-001
otupit	v-w10983f2	otupit-001
otupovat	v-w3284f1	otupovat-001
otupět	v-w10049f2	otupět-001
otužovat	v-w3286f1	otužovat-001
otvírat	v-w3288f1	otvírat-001
otvírat	v-w3288f2	otvírat-005
otvírat	v-w3288f3	otvírat-002
otvírat	v-w3288f4	otvírat-004
otvírat	v-w3288f5_ZU	otvírat-003
otvírat	v-w3288f6_ZU	otvírat-006
otvírat se	v-w3289f1	otvírat se-002
otvírat se	v-w3289f2	otvírat se-001
otálet	v-w3247f1	otálet-001
otázat se	v-w3248f1	otázat se-001
otáčet	v-w11042hsa_640	otáčet-001
otáčet	v-w11042f2	otáčet-001	substituted with v-w11042hsa_640
otáčet se	v-whsa_1974hsa_1975	otáčet se-001
otáčet se	v-whsa_1974hsa_1976	otáčet se-002
otéci	v-w3251f1	otéci-001
otékat	v-whsa_810hsa_811	otékat-001
otěhotnět	v-w3253f1	otěhotnět-001
otřepávat se	v-w11427f1	otřepávat se-001
otřásat	v-w3280f1	otřásat-002
otřásat	v-w3280f2	otřásat-003
otřásat	v-w3280f3	otřásat-001
otřásat se	v-w11327f1	otřásat se-001
otřást	v-w3281f1	otřást-002
otřást	v-w3281f2	otřást-003
otřást	v-w3281f3	otřást-001
otřást	v-w3281f5_ZU	otřást-004
otřást	v-w3281f4_ZU	otřást-004	substituted with v-w3281f5_ZU
otřást se	v-w11544_ZUf1_ZU	otřást se-001
otřít	v-w11115f2	otřít-001
ovdovět	v-w11332f1	ovdovět-001
ovlivnit	v-w3305f1	ovlivnit-001
ovlivňovat	v-w3309f1	ovlivňovat-001
ovládat	v-w3299f1	ovládat-001
ovládat	v-w3299f2	ovládat-002
ovládat	v-w3299f3	ovládat-003
ovládnout	v-w3301f1	ovládnout-001
ovládnout	v-w3301f2	ovládnout-003
ovládnout	v-w3301f3	ovládnout-002
ověsit	v-w3295f1	ověsit-001
ověřit	v-w3291f1	ověřit-001
ověřovat	v-w3293f1	ověřovat-001
oxeroxovat	v-w12368_MMf1_MM	oxeroxovat-001
ozbrojit	v-w3313f1	ozbrojit-001
ozdobit	v-w3316f1	ozdobit-001
ozdravět	v-whsa_563hsa_564	ozdravět-001
ozkoušet	v-w10841f2	ozkoušet-001
oznamovat	v-w3330f1	oznamovat-002
oznamovat	v-w3330f2	oznamovat-001
oznamovat	v-w3330f3	oznamovat-003
oznamovat	v-w3330f4	oznamovat-004
označit	v-w3321f1	označit-001
označit	v-w3321f2	označit-003
označit	v-w3321f3	označit-002
označovat	v-w3325f1	označovat-001
označovat	v-w3325f2	označovat-003
označovat	v-w3325f3	označovat-002
oznámit	v-w3328f3	oznámit-003
oznámit	v-w3328f4	oznámit-004
oznámit	v-w3328f5_ZU	oznámit-001
oznámit	v-w3328f2	oznámit-001	substituted with v-w3328f5_ZU
oznámit	v-w3328f6_ZU	oznámit-002
oznámit	v-w3328f1	oznámit-002	substituted with v-w3328f6_ZU
ozvat se	v-w3333f2	ozvat se-001
ozvat se	v-w3333f3	ozvat se-002
ozvat se	v-w3333f4_ZU	ozvat se-003
ozvat se	v-w3333f1	ozvat se-003	substituted with v-w3333f4_ZU
ozářit	v-w3312f1	ozářit-001
ozářit	v-w3312f2	ozářit-002
ozývat se	v-w3336f3	ozývat se-001
ozývat se	v-w3336f4_ZU	ozývat se-003
ozývat se	v-w3336f1	ozývat se-003	substituted with v-w3336f4_ZU
ozývat se	v-w3336f5_ZU	ozývat se-002
ozývat se	v-w3336f2	ozývat se-002	substituted with v-w3336f5_ZU
ozřejmit	v-w3332f1	ozřejmit-001
ozřejmovat	v-w10669f2	ozřejmovat-001
očarovávat	v-w10304f2	očarovávat-001
očekávat	v-w2608f1	očekávat-001
očekávat	v-w2608f2	očekávat-002
očekávat	v-w2608f3_ZU	očekávat-004
očekávat	v-w2608hsa_1088	očekávat-003
očernit	v-w10762f2	očernit-001
očerňovat	v-w11529_ZUf1_ZU	očerňovat-001
očesat	v-w11530_ZUf1_ZU	očesat-001
očesávat	v-w10761f2	očesávat-001
očesávat	v-w10761f3_ZU	očesávat-002
očistit	v-w2612f2_ZU	očistit-002
očistit	v-w2612f3_ZU	očistit-001
očistit	v-w2612f1	očistit-001	substituted with v-w2612f3_ZU
očistit	v-w2612hsa_891	očistit-003
očistit	v-w2612hsa_892	očistit-004	obsolete
očišťovat	v-w11531_ZUf1_ZU	očišťovat-001
očkovat	v-w2615f1	očkovat-001
očuchávat	v-w11777_ZUf1_ZU	očuchávat-001
očíslovat	v-w2610f1	očíslovat-001
ořezat	v-w10292f3	ořezat-001
ořezat	v-w10292f5	ořezat-003
ořezat	v-w10292f6	ořezat-002
ořezávat	v-whsa_1162hsa_1163	ořezávat-001
oříznout	v-w11153f2	oříznout-001
ošetřit	v-w3238f2_ZU	ošetřit-001
ošetřit	v-w3238f1	ošetřit-001	substituted with v-w3238f2_ZU
ošetřit	v-w3238hsa_941	ošetřit-002
ošetřovat	v-w3240f1	ošetřovat-001
ošidit	v-w3242f2_ZU	ošidit-001
ošidit	v-w3242f1	ošidit-001	substituted with v-w3242f2_ZU
ošklíbat se	v-whsa_1591hsa_1592	ošklíbat se-001
oškrábat	v-whsa_96hsa_97	oškrábat-001
oškubat	v-w11129f2	oškubat-001
ošlapat	v-w3243f1	ošlapat-001
ošoustat	v-w3244f1	ošoustat-001
ošplouchnout	v-w12192_ZUf1_ZU	ošplouchnout-001
oštipovat	v-w11795_ZUf1_ZU	oštipovat-001
ošukat	v-whsa_1456hsa_1457	ošukat-001
ošálit	v-w11185f2	ošálit-001
oťukat	v-w3283f1	oťukat-001
ožebračit	v-w11663_ZUf2_ZU	ožebračit-001
ožebračit	v-w11663_ZUf1_ZU	ožebračit-001	substituted with v-w11663_ZUf2_ZU
ožebračovat	v-w3337f1	ožebračovat-001
oženit	v-w3338f1	oženit-001
oženit se	v-w3339f1	oženit se-001
oživit	v-w3344f1	oživit-001
oživit	v-w3344f2_ZU	oživit-002
oživit	v-w3344f3_ZU	oživit-003
oživnout	v-whsa_267hsa_268	oživnout-001
oživovat	v-w3346f1	oživovat-001
oživovat	v-w3346f2	oživovat-002
oživovat	v-w3346hsa_1933	oživovat-003
ožrat	v-w12198_ZUf1_ZU	ožrat-001
ožírat	v-w12199_ZUf1_ZU	ožírat-001
ožít	v-w3341f1	ožít-001
ožít	v-w3341hsa_163	ožít-002
ožívat	v-w3342f1	ožívat-001
ožívat	v-w3342f2	ožívat-002
pachtit se	v-w11355f1	pachtit se-002
pachtit se	v-w11355f3_ZU	pachtit se-001
pachtit se	v-w11355f2_ZU	pachtit se-001	substituted with v-w11355f3_ZU
pacifikovat	v-w3348f1	pacifikovat-001
padat	v-w3351f1	padat-004
padat	v-w3351f2	padat-005
padat	v-w3351f3	padat-001
padat	v-w3351f4	padat-002
padat	v-w3351f5_ZU	padat-003
padat	v-w3351f6_ZU	padat-006
padat	v-w3351f7_ZU	padat-007
padat	v-w3351f8_ZU	padat-008
padnout	v-w3356f1	padnout-015
padnout	v-w3356f2	padnout-008
padnout	v-w3356f3	padnout-009
padnout	v-w3356f4	padnout-010
padnout	v-w3356f5	padnout-011
padnout	v-w3356f6	padnout-012
padnout	v-w3356f7	padnout-003
padnout	v-w3356f8	padnout-007
padnout	v-w3356f9	padnout-013
padnout	v-w3356f10	padnout-004
padnout	v-w3356f11	padnout-019
padnout	v-w3356f12	padnout-016
padnout	v-w3356f13	padnout-020
padnout	v-w3356f14	padnout-014
padnout	v-w3356f15	padnout-018
padnout	v-w3356f16	padnout-002
padnout	v-w3356f17	padnout-006
padnout	v-w3356f18	padnout-005
padnout	v-w3356f19	padnout-017
padnout	v-w3356f20	padnout-001
padnout	v-w3356f21_ZU	padnout-021
padnout	v-w3356hsa_1100	padnout-021	substituted with v-w3356f21_ZU
padnout	v-w3356f22_ZU	padnout-022
padnout si	v-whsa_1630f1_ZU	padnout si-001
padnout si	v-whsa_1630hsa_1631	padnout si-001	substituted with v-whsa_1630f1_ZU
padělat	v-w3353f1	padělat-001
pakovat	v-whsa_1518hsa_1519	pakovat-001
pakovat se	v-whsa_1514hsa_1515	pakovat se-001
paličkovat	v-w12079_ZUf1_ZU	paličkovat-001
pamatovat	v-w3367f5_ZU	pamatovat-001
pamatovat	v-w3367f1	pamatovat-001	substituted with v-w3367f5_ZU
pamatovat	v-w3367f2_ZU	pamatovat-001	substituted with v-w3367f5_ZU
pamatovat	v-w3367f3_ZU	pamatovat-001	substituted with v-w3367f5_ZU
pamatovat	v-w3367f4_ZU	pamatovat-001	substituted with v-w3367f5_ZU
pamatovat	v-w3367hsa_326	pamatovat-002
pamatovat se	v-w3368f2_ZU	pamatovat se-001
pamatovat se	v-w3368f1	pamatovat se-001	substituted with v-w3368f2_ZU
pamatovat se	v-w3368hsa_1899	pamatovat se-001	substituted with v-w3368f2_ZU
pamatovat si	v-w3369f2	pamatovat si-002
pamatovat si	v-w3369f4_MM	pamatovat si-001
pamatovat si	v-w3369f1	pamatovat si-001	substituted with v-w3369f4_MM
pamatovat si	v-w3369f3_MM	pamatovat si-001	substituted with v-w3369f4_MM
panikařit	v-w11139f2	panikařit-001
panovat	v-w3374f1	panovat-001
parafovat	v-w3378f1	parafovat-001
paralyzovat	v-w3381f1	paralyzovat-001
parazitovat	v-w3382f1	parazitovat-002
parazitovat	v-w3382f2	parazitovat-001
parkovat	v-w3384f1	parkovat-001
parkovat	v-w3384f2	parkovat-002
parodovat	v-w3386f1	parodovat-001
participovat	v-w3389f1	participovat-001
pasovat	v-w3397f1	pasovat-001
pasovat	v-w3397f2	pasovat-003
pasovat	v-w3397f3	pasovat-002
pasovat	v-w3397f4_ZU	pasovat-004
pasovat	v-w3397hsa_1357	pasovat-005
patentovat	v-w10221f2	patentovat-001
patřit	v-w3411f1	patřit-003
patřit	v-w3411f3	patřit-002
patřit	v-w3411f4	patřit-004
patřit	v-w3411f6_ZU	patřit-001
patřit	v-w3411f2	patřit-001	substituted with v-w3411f6_ZU
patřit	v-w3411f5_ZU	patřit-001	substituted with v-w3411f6_ZU
patřit	v-w3411f7_ZU	patřit-005
patřit se	v-w3412f1	patřit se-001
pašovat	v-w3402f1	pašovat-001
pelášit	v-w10122f2	pelášit-001
penalizovat	v-w3419f1	penalizovat-001
pendlovat	v-w11969_ZUf1_ZU	pendlovat-001
penzionovat	v-w3422f1	penzionovat-001
persekuovat	v-w11913_ZUf1_ZU	persekuovat-001
perzekuovat	v-w3426f1	perzekuovat-001
perzekvovat	v-w3427f1	perzekvovat-001
peskovat	v-w3428f1	peskovat-001
pečovat	v-w3416f1	pečovat-001
pilovat	v-w11827_ZUf1_ZU	pilovat-001
pilovat	v-w11827_ZUf2_MM	pilovat-002
pinkat si	v-w3442f1	pinkat si-001
piplat	v-w3443f1	piplat-001
pitvat	v-whsa_760f1_ZU	pitvat-002
pitvat	v-whsa_760hsa_761	pitvat-001
pitvořit se	v-w11487f1	pitvořit se-001
plachtit	v-w10986f2	plachtit-001
plachtit	v-w10986hsa_379	plachtit-002
plahočit se	v-w12221_ZUf1_ZU	plahočit se-001
plakat	v-w3457f1	plakat-001
plakat	v-w3457f2_ZU	plakat-002
plakat	v-w3457hsa_228	plakat-002	substituted with v-w3457f2_ZU
plandat	v-w12134_ZUf1_ZU	plandat-001
planout	v-w3459f1	planout-001
planout	v-w3459f2	planout-002
platit	v-w3468f1	platit-001
platit	v-w3468f3	platit-008
platit	v-w3468f4	platit-004
platit	v-w3468f5	platit-002
platit	v-w3468f6	platit-006
platit	v-w3468f8	platit-003
platit	v-w3468f9	platit-005
platit	v-w3468f10_ZU	platit-007
platit	v-w3468f7	platit-007	substituted with v-w3468f10_ZU
platit	v-w3468f11_ZU	platit-009
platit	v-w3468f2	platit-009	substituted with v-w3468f11_ZU
platívat	v-w10506f3	platívat-001
plavat	v-w3471f1	plavat-001
plavat	v-w3471f2	plavat-002
plavat	v-w3471f3_ZU	plavat-003
plavat	v-w3471hsa_133	plavat-004
plavit se	v-w3473f1	plavit se-001
plazit se	v-w3475f1	plazit se-001
plašit	v-whsa_504hsa_505	plašit-001
plašit se	v-w3465f1	plašit se-001
plenit	v-w11546_ZUf1_ZU	plenit-001
plesknout	v-w12098_ZUf1_ZU	plesknout-001
plešatět	v-w3482f1	plešatět-001
plivat	v-w3483f1	plivat-001
plivnout	v-w11868_ZUf1_ZU	plivnout-001
plnit	v-w3486f1	plnit-002
plnit	v-w3486f2	plnit-001
plnit si	v-w3487f1	plnit si-001
plodit	v-w3489f1	plodit-001
plodit	v-w3489f2	plodit-003
plodit	v-w3489f3	plodit-002
plout	v-w3490f1	plout-001
plout	v-w3490f4_ZU	plout-002
plout	v-w3490f2_ZU	plout-002	substituted with v-w3490f4_ZU
plout	v-w3490f3_ZU	plout-002	substituted with v-w3490f4_ZU
ploužit se	v-whsa_1960hsa_1961	ploužit se-001
plužit	v-w10426f2	plužit-001
plynout	v-w3493f1	plynout-001
plynout	v-w3493f2	plynout-002
plynout	v-w3493f3	plynout-003
plynovat	v-w11697_ZUf2_ZU	plynovat-001
plynovat	v-w11697_ZUf1_ZU	plynovat-001	substituted with v-w11697_ZUf2_ZU
plácat	v-whsb_1142f2_MM	plácat-001
plácat	v-whsa_1142f1_ZU	plácat-001	substituted with v-whsb_1142f2_MM
plácat	v-whsa_1142hsa_1143	plácat-001	substituted with v-whsb_1142f2_MM
plácat se	v-w3452f1	plácat se-001
plácnout	v-w3455f1	plácnout-002
plácnout	v-w3455f3	plácnout-001
plácnout	v-w3455hsa_1581	plácnout-003
plánovat	v-w3462f1	plánovat-001
plédovat	v-w3477f1	plédovat-001
plést	v-w3479f1	plést-002
plést	v-w3479f2	plést-001
plést	v-w3479f3_ZU	plést-003
plést	v-w3479hsa_537	plést-004
plést se	v-w3480f1	plést se-001
plést se	v-w3480f2	plést se-002
plést se	v-w3480f3	plést se-003
plést se	v-w3480f4_ZU	plést se-004
plést si	v-w3481f1	plést si-001
plést si	v-w3481f2	plést si-002
plísnit	v-w11030f2	plísnit-001
plít	v-whsa_1668hsa_1669	plít-001
plížit se	v-w11312f1	plížit se-001
plýtvat	v-w3495f2_ZU	plýtvat-001
plýtvat	v-w3495f1	plýtvat-001	substituted with v-w3495f2_ZU
pobabit se	v-whsa_1205hsa_1206	pobabit se-001
pobalit	v-w11865_ZUf1_ZU	pobalit-001
pobavit	v-w3498hsa_1539	pobavit-001
pobavit	v-w3498f1	pobavit-001	substituted with v-w3498hsa_1539
pobavit se	v-w3499f1	pobavit se-001
poblahopřát	v-w11963_ZUf1_ZU	poblahopřát-001
pobláznit	v-w10390f2	pobláznit-001
pobodat	v-w3505f1	pobodat-001
pobouřit	v-w11017f2	pobouřit-001
pobrat	v-w3507f1	pobrat-001
pobrat	v-w3507f2	pobrat-002
pobrat	v-w3507f4_MM	pobrat-003
pobrat	v-w3507f3_MM	pobrat-003	substituted with v-w3507f4_MM
pobrat	v-w3507hsa_734	pobrat-004
pobrukovat si	v-w3508f1	pobrukovat si-001
pobuřovat	v-w3509f1	pobuřovat-001
pobídnout	v-w11505_ZUf3_ZU	pobídnout-001
pobídnout	v-w11505_ZUf1_ZU	pobídnout-001	substituted with v-w11505_ZUf3_ZU
pobídnout	v-w11505_ZUf2_ZU	pobídnout-001	substituted with v-w11505_ZUf3_ZU
pobíhat	v-w3501f1	pobíhat-001
pobírat	v-w3503f1	pobírat-001
pobít	v-w10651f2	pobít-001
pobít	v-w10651f3_ZU	pobít-002
pobít	v-w10651f4_ZU	pobít-003
pobít	v-w10651hsa_11	pobít-003	substituted with v-w10651f4_ZU
pobízet	v-w10704f2	pobízet-001
pobýt	v-w3511f1	pobýt-002
pobýt	v-w3511f2	pobýt-001
pobývat	v-w3513f1	pobývat-001
pochlubit se	v-w3704hsa_1318	pochlubit se-001
pochlubit se	v-w3704f1	pochlubit se-001	substituted with v-w3704hsa_1318
pochlubit se	v-w3704f2_ZU	pochlubit se-001	substituted with v-w3704hsa_1318
pochodit	v-w3706f1	pochodit-002
pochodit	v-w3706f2	pochodit-001
pochodit	v-w3706f3_ZU	pochodit-003
pochodit	v-w3706hsa_271	pochodit-003	substituted with v-w3706f3_ZU
pochodovat	v-w3707f1	pochodovat-001
pochopit	v-w3709f1	pochopit-001
pochovat	v-whsa_712hsa_713	pochovat-001
pochovat	v-whsa_712hsa_714	pochovat-002
pochovávat	v-w12251_ZUf1_ZU	pochovávat-001
